what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604013999345
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014001395
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604014001624
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604014001924
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604014002409
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014004937
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014009012
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014013535
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014016161
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604014016365
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604014016710
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604014017409
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014021343
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014023443
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604014023664
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604014023966
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014024222
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604014031090
