what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299530605
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299544469
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299547604
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299554298
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299566283
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299572487
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299579872
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299580840
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299584436
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299597437
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1605299601056
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299601235
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299601319
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299611025
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299611992
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605299615206
