what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.m2e.discovery,1.16.0.20200318-1040,"org.eclipse.m2e.discovery",1605443321286
stopped,bundle,org.eclipse.m2e.importer,1.16.0.20200318-0852,"org.eclipse.m2e.importer",1605443321416
stopped,bundle,org.eclipse.m2e.jdt,1.16.0.20200610-1500,"org.eclipse.m2e.jdt",1605443321616
stopped,bundle,org.eclipse.m2e.launching,1.16.0.20200318-1040,"org.eclipse.m2e.launching",1605443321616
stopped,bundle,org.eclipse.m2e.profiles.ui,1.16.0.20200318-1040,"org.eclipse.m2e.profiles.ui",1605443321888
stopped,bundle,org.eclipse.m2e.profiles.core,1.16.0.20200318-1040,"org.eclipse.m2e.profiles.core",1605443322009
stopped,bundle,org.eclipse.m2e.refactoring,1.16.0.20200318-0852,"org.eclipse.m2e.refactoring",1605443322012
stopped,bundle,org.eclipse.m2e.core.ui,1.16.1.20200710-1008,"org.eclipse.m2e.core.ui",1605443322029
stopped,bundle,org.eclipse.m2e.core,1.16.1.20200710-1008,"org.eclipse.m2e.core",1605443322029
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,3.0.36.202002070035,"org.eclipse.mylyn.wikitext.tasks.ui",1605443322339
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1605443322340
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.help.ui",1605443322357
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1605443322357
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1605443322380
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1605443322380
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.24.2.v20180905-0003,"org.eclipse.mylyn.tasks.ui",1605443322381
stopped,bundle,org.eclipse.mylyn.commons.notifications.ui,1.17.1.v20200511-1958,"org.eclipse.mylyn.commons.notifications.ui",1605443322403
stopped,bundle,org.eclipse.mylyn.commons.repositories.ui,1.17.1.v20200511-1958,"org.eclipse.mylyn.commons.repositories.ui",1605443322404
