what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1605271784689
started,bundle,org.eclipse.equinox.concurrent,1.0.100.v20100503,"org.eclipse.equinox.concurrent",1605271784864
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1605271784864
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1605271784864
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1605271784865
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1605271784866
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1605271784869
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1605271784885
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1605271784886
started,bundle,org.eclipse.lsp4e,0.13.3.202007221459,"org.eclipse.lsp4e",1605271784887
started,bundle,org.springframework.ide.eclipse.boot,3.9.14.202007241544-CI-B2599,"org.springframework.ide.eclipse.boot",1605271784887
started,bundle,org.springframework.ide.eclipse.boot.validation,3.9.14.202007241544-CI-B2599,"org.springframework.ide.eclipse.boot.validation",1605271784888
started,bundle,org.springframework.ide.eclipse.imports,3.9.14.202007241544-CI-B2599,"org.springframework.ide.eclipse.imports",1605271784888
started,bundle,org.springsource.ide.eclipse.commons.frameworks.core,3.9.14.202007202144-CI-B521,"org.springsource.ide.eclipse.commons.frameworks.core",1605271784890
started,bundle,org.springsource.ide.eclipse.commons.frameworks.ui,3.9.14.202007202144-CI-B521,"org.springsource.ide.eclipse.commons.frameworks.ui",1605271784890
started,bundle,org.springsource.ide.eclipse.commons.livexp,3.9.14.202007202144-CI-B521,"org.springsource.ide.eclipse.commons.livexp",1605271784891
started,bundle,org.springsource.ide.eclipse.commons.ui,3.9.14.202007202144-CI-B521,"org.springsource.ide.eclipse.commons.ui",1605271784892
started,bundle,org.eclipse.mylyn.tasks.ui,3.24.2.v20180905-0003,"org.eclipse.mylyn.tasks.ui",1605271784895
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1605271784895
os,sysinfo,,,"win32",1605271784898
arch,sysinfo,,,"x86_64",1605271784898
ws,sysinfo,,,"win32",1605271784898
locale,sysinfo,,,"pt_BR",1605271784898
processors,sysinfo,,,"4",1605271784898
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1605271784898
java.runtime.version,sysinfo,,,"1.8.0_261-b12",1605271784898
java.specification.name,sysinfo,,,"Java Platform API Specification",1605271784898
java.specification.vendor,sysinfo,,,"Oracle Corporation",1605271784898
java.specification.version,sysinfo,,,"1.8",1605271784898
java.vendor,sysinfo,,,"Oracle Corporation",1605271784898
java.version,sysinfo,,,"1.8.0_261",1605271784898
java.vm.info,sysinfo,,,"mixed mode",1605271784898
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1605271784898
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1605271784898
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1605271784898
java.vm.specification.version,sysinfo,,,"1.8",1605271784898
java.vm.vendor,sysinfo,,,"Oracle Corporation",1605271784898
java.vm.version,sysinfo,,,"25.261-b12",1605271784898
started,bundle,org.eclipse.mylyn.context.core,3.24.2.v20180905-0014,"org.eclipse.mylyn.context.core",1605271785244
started,bundle,org.eclipse.userstorage.oauth,1.1.0.v20190307-0457,"org.eclipse.userstorage.oauth",1605271787763
started,bundle,org.eclipse.oomph.setup.sync,1.12.0.v20200203-0955,"org.eclipse.oomph.setup.sync",1605271787781
started,bundle,org.eclipse.equinox.p2.engine,2.6.700.v20200511-1530,"org.eclipse.equinox.p2.engine",1605271787867
started,bundle,org.eclipse.emf.edit,2.16.0.v20190920-0401,"org.eclipse.emf.edit",1605271787908
started,bundle,org.eclipse.oomph.preferences,1.11.0.v20190920-0437,"org.eclipse.oomph.preferences",1605271787957
started,bundle,org.eclipse.oomph.p2,1.13.0.v20200403-0525,"org.eclipse.oomph.p2",1605271787979
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.3.400.v20191211-1528,"org.eclipse.equinox.p2.metadata.repository",1605271788113
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.3.500.v20200406-2025,"org.eclipse.equinox.p2.artifact.repository",1605271788133
started,bundle,org.eclipse.equinox.p2.ui,2.6.0.v20200602-1138,"org.eclipse.equinox.p2.ui",1605271789209
started,bundle,org.eclipse.oomph.predicates.edit,1.10.0.v20180706-1242,"org.eclipse.oomph.predicates.edit",1605271791380
started,bundle,org.eclipse.oomph.workingsets,1.10.0.v20180706-1242,"org.eclipse.oomph.workingsets",1605271791864
started,bundle,org.eclipse.oomph.resources,1.13.0.v20200409-0806,"org.eclipse.oomph.resources",1605271791884
started,bundle,org.eclipse.oomph.predicates,1.11.0.v20190920-0437,"org.eclipse.oomph.predicates",1605271791911
started,bundle,org.eclipse.oomph.workingsets.editor,1.11.0.v20190929-1544,"org.eclipse.oomph.workingsets.editor",1605271791927
started,bundle,org.eclipse.oomph.setup.p2,1.15.0.v20200531-1047,"org.eclipse.oomph.setup.p2",1605271792396
started,bundle,org.eclipse.m2e.core,1.16.1.20200710-1008,"org.eclipse.m2e.core",1605271801735
started,bundle,org.eclipse.emf.edit.ui,2.18.0.v20200205-0529,"org.eclipse.emf.edit.ui",1605271801786
started,bundle,org.eclipse.oomph.setup.editor,1.17.0.v20200529-0748,"org.eclipse.oomph.setup.editor",1605271802590
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271842379
started,bundle,org.springsource.ide.eclipse.commons.core,3.9.14.202007202144-CI-B521,"org.springsource.ide.eclipse.commons.core",1605271844119
activated,view,org.eclipse.ui.navigator.resources,3.7.300.v20200417-1241,"org.eclipse.ui.navigator.ProjectExplorer",1605271844841
started,bundle,org.eclipse.wst.common.core,1.3.0.v201903222010,"org.eclipse.wst.common.core",1605271847041
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271849488
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271861490
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271865540
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271892286
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.newWizard",1605271892311
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271894036
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271914923
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.refresh",1605271917337
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605271926537
