what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024560912
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024574372
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024576727
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024609108
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024609363
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024612865
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024617118
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024617379
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604024623368
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024639735
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024648588
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024648748
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024649005
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024651908
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.copy",1604024659433
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024660598
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.paste",1604024662470
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024665260
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024667096
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024667181
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604024681405
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604024685285
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604024708228
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024711205
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024718987
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1604024719088
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604024726032
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024734569
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024736098
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024737423
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604024738981
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024750573
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024753014
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024765550
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024771041
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024771189
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024771472
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024774178
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.copy",1604024781675
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024786594
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.paste",1604024788529
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024790136
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024791553
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024791643
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604024795645
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604024802143
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604024807266
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024811286
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024812710
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604024818305
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024848514
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024850037
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024855539
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024895257
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604024930177
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024933760
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604024935980
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604024936053
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.cut",1604024942365
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.paste",1604024948297
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604024955698
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024957810
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024982092
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024984390
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604024985894
