what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.copy",1605275041971
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.paste",1605275046806
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275099850
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275110502
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605275117309
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275154436
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275160815
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605275237393
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275253237
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275292991
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605275299412
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605275302153
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605275310329
activated,view,org.eclipse.ui.console,3.9.200.v20200511-1122,"org.eclipse.ui.console.ConsoleView",1605275315209
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275318429
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275326648
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275488705
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275488803
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275516000
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275731880
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275750343
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275858036
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1605275865390
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275868518
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605275870530
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1605275870674
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275883400
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605275890042
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275890781
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605275905036
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275907151
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605275911611
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605275914307
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276107701
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276120099
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276141891
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276148121
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276201991
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.copy",1605276217829
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.paste",1605276220505
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276231530
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276235908
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276247208
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276260962
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1605276283429
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605276296609
activated,view,org.eclipse.ui.console,3.9.200.v20200511-1122,"org.eclipse.ui.console.ConsoleView",1605276320002
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605276335484
activated,view,org.eclipse.ui.console,3.9.200.v20200511-1122,"org.eclipse.ui.console.ConsoleView",1605276345294
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605276354079
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605276355277
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605276361009
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1605276372415
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605276375815
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605276390138
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605276390228
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605276391681
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605276394460
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1605276432459
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605276438546
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605276477208
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605276477314
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605277022746
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291225659
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605291230569
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605291231347
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605291231876
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291233300
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291296229
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291301864
started,bundle,org.eclipse.mylyn.context.ui,3.24.2.v20180905-0014,"org.eclipse.mylyn.context.ui",1605291320823
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1605291320826
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291320976
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1605291322162
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291327041
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291332343
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605291332766
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605291332839
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291360343
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291364125
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291377980
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291431394
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291440746
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605291440852
