what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604018169998
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018171876
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018171967
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604018185091
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604018196962
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018198572
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018198675
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604018205014
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604018214032
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018215531
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018215645
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604018222072
activated,view,org.eclipse.ui.ide,3.17.100.v20200530-0835,"org.eclipse.ui.views.ProblemView",1604018223870
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018223917
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604018225080
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018229672
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018229960
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018273382
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018277438
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018278116
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018281959
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018310569
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018687629
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018689208
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018693957
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604018696008
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604018697214
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018749932
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018783002
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018792786
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018798152
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018826036
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018830559
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1604018830723
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604018843385
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604018851512
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604019959041
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020033388
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020044857
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604020069862
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020094790
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020109691
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020117215
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020119383
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020121632
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020121845
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020125161
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020224207
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020226158
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020230074
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020232947
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020233164
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020234831
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020237906
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020238124
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020239012
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020239177
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020239399
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020240269
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020240500
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020240722
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020241416
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020241599
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020241852
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020242881
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020243089
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020243317
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020245648
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020257754
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020264269
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604020264351
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020272224
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020274794
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020274882
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604020284027
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020287412
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020289562
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604020289645
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020293964
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020296127
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020296220
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604020302379
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020304223
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020304890
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604020304966
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020312654
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020316483
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020316591
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020317785
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020341896
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020352958
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020353156
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020353391
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020354897
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020355110
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020355347
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020376365
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020380546
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020380670
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020400007
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020401781
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020401894
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604020407957
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020410202
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020418971
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604020419056
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020433823
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020436473
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020436564
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604020445094
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020447040
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020448278
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604020448351
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020461393
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020464080
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020464169
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.undo",1604020470176
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.source.quickMenu",1604020481520
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020484506
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020484970
executed,command,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1604020485048
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.file.save",1604020501880
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020503859
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020503954
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020508704
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020510184
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020539620
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020544778
opened,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020545014
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020545357
executed,command,org.eclipse.ui,3.117.0.v20200518-1705,"org.eclipse.ui.edit.text.contentAssist.proposals",1604020565815
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020642748
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020740013
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020741662
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020767073
activated,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1604020768659
activated,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1604020768961
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020807758
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1604020923554
